,0
0,アズールレーン
1,アイドルマスターシンデレラガールズ
2,バーチャルYouTuber
3,ご注文はうさぎですか？
4,アイドルマスターシャイニーカラーズ
5,ポケットモンスター
6,グランブルーファンタジー
7,IS〈インフィニット・ストラトス〉
8,けいおん！
9,けものフレンズ
10,ソードアート・オンライン
11,僕のヒーローアカデミア
12,セーラームーン
13,ToLOVEる
14,かぐや様は告らせたい
15,やはり俺の青春ラブコメはまちがっている。
16,艦隊これくしょん-艦これ-
17,ラブライブ!
18,この素晴らしい世界に祝福を!
19,東方project
20,俺の妹がこんなに可愛いわけがない
21,ペルソナ
22,BanG Dream!(バンドリ！)
23,新世紀エヴァンゲリオン
24,ドラゴンボール
25,Re：ゼロから始める異世界生活
26,五等分の花嫁
27,ラブライブ!サンシャイン!!
28,魔法少女リリカルなのは
29,モンスターハンター
30,Fate/Grand Order
31,とある魔術の禁書目録
32,Fate/Stay night
33,青春ブタ野郎はバニーガール先輩の夢を見ない
34,遊戯王
35,よろず
36,NARUTO
37,ドラゴンクエスト
38,ONE PIECE
39,オリジナル
40,SSSS.GRIDMAN(グリッドマン)
41,アイドルマスター
42,Fate/Stay Night
43,コードギアス
44,魔法少女まどか☆マギカ
45,Fate/stay night
46,ガールズ&パンツァー
47,ゴブリンスレイヤー
48,東方Project
49,VOCALOID
50,アイドルマスターミリオンライブ!
51,ワンパンマン
52,化物語
